,place,review,date
0,МегаФон Yota,Связь хорошия но цены выше чем у конкурентов и много платных подключаемых услуг,20 сентября 2018
1,Кулинария,"Прикольный ларёчик !!! Но решил там попробовать салатик, не помню название , он был совсем безвкусный!!! И брал там мойву жареную была очень вкусненькая !!!",6 декабря
2,Кулинария,Кулинария рядом с домом. Всегда можно что то выбрать. Особенно понравилрсь овсенное печенье!,9 августа
3,Кулинария,"Вкусно,по домашнему,печения часто берём,беляши вкусные,но очень жирные",4 августа
4,Кулинария,Непропеченое тесто скудный выбор,5 июня
5,Кулинария,Хорошая кулинирия,2 июня
6,Кулинария,"Персонал приветливый, качество выпечки хорошее, рекомендую.",18 мая
7,Кулинария,Вкусные пирожки и сосиски в тесте и ещё много чего,17 мая
8,Кулинария,Тесто дрожжевое сомое лучшее из всех какими пользовалась. Выпечка из него долго не черствеет. Спасибо! Персонал приятный.,16 мая
9,Кулинария,"Поминальные обеды на высшем уровне, качество, доброжелательность, внимание.",14 мая
10,Кулинария,Хорошее тесто для пирожков. Жена часто берёт если планирует пироги. Дешевле и быстрее чем самому месить.,5 апреля
11,Кулинария,"Выпечка свежая и вкусная. 
Печенье жёсткое.",30 марта
12,Кулинария,"Вкусная выпечка, хорошее тесто",12 марта
13,Кулинария,"В этом месте можно всегда купить свежую выпечку, по доступной цене. Всё вкусно. Есть также разные салатики и напитки. Тесто тоже есть в продаже.",10 февраля
14,Кулинария,пробовали практически все. Все вкусно.,28 января
15,Кулинария,Тесто собственного производства у них хорошее. По поводу остального ни чего сказать не могу. Но много постоянных клиентов.,17 января
16,Кулинария,"Вкусно, всегда свежая выпечка, в наличии тесто. Чисто, но тесновато.",14 января
17,Кулинария,"Много выписки ,заходите не пожалеите",29 декабря 2022
18,Магнит,Любимый магазин,4 декабря
19,Магнит,"Хороший магазин, преобразуется, хорошие продавцы,вежливые, да и работает круглосуточно",22 ноября
20,Магнит,"Хороший магазин, а главное круглосуточный это большой плюс для тех кто работает до позна!!!",20 ноября
21,Магнит,"Второй раз сталкиваюсь с проблемой в доставке заказа, каким-то чудным образом курьеры с заказами теряются. А служба поддержки не может до них дозвониться и предлагает ждать какого-то чуда, что курьер с заказом найдётся. Первый раз курьер нашёлся через час после положенного времени. А сегодня вообще не нашёлся. Требуется возврат денег, т.к. поддержка не может решить вопрос.
Зато 20 минут назад во всех официальных источниках отчитались за возврат денег за заказ! Отлично пишите, не стесиянтесь отвечать на жалобы.
Я в принципе могу в магазин на Будённого 10 заехать, но решать вопрос совестно уже не буду
Спустя 2 часа заказа, который так и не приехал, деньги так и не вернулись
--",12 ноября
22,Магнит,"Всё отлично, продавцы отзывчивые, товар всегда в наличии, на прилавках всё есть, чисто и комфортно.",30 октября
23,Магнит,"Отличный магазин, еще и круглосуточный, удобный, продукты всегда свежие, мне очень нравится. В нем всегда есть нужные товары, в 2 часа ночи даже хлеб есть)))",28 октября
24,Магнит,"Не люблю магниты, а в этом еще и персонал ужасный, всегда грязный магазин и очереди на минут 15-20",11 октября
25,Магнит,Персонал хороший хожу туда всегда деректор тоже очень хороший 👍👍👍 еда никогда не просроченная,6 октября
26,Магнит,"Удобно , рядом с домом. Ассортимент товара устраивает. Но бывает на кассе очередь выстраивается более 5 чел.
Пока , кто-нибудь из очереди не попросит пригласить еще одного кассира , никто из персонала не шелохнётся",1 октября
27,Магнит,"Хороший персонал, хорошее обслуживание!",4 сентября
28,Магнит,Всё шикарно,24 августа
29,Магнит,"Хороший магазин, частые скидки, цены вполне адекватные. Бывает конечно что-то дорого, но можно дождаться акции. Минус в кассах. Бывает народу полно, а работают всего 2 кассы. Персонал вежливый.",17 августа
30,Магнит,Очень приятный магазин,21 июня
31,Магнит,Хотелось бы продукты более высокого качества …..,16 июня
32,Магнит,"Очень хороший магазин, в магазине всегда порядок и отзывачатые продавцы",4 июня
33,Магнит,Да хороший магазин и выбор продуктов хороший,26 мая
34,Магнит,"Тоже самое как и со всеми магнитами, неуютный, некомфортный и как у во всех магнитах овощи и фрукты оставляют желать лучшего, готовая еда тоже",9 мая
35,Магнит,Все хорошо,26 апреля
36,Магнит,"Хороший магазин, есть стоянка для машин.",3 марта
37,Магнит,Цены космические,28 января
38,Магнит,"Вечная просрочка, особенно мясо,кассы работают по одной ,есть пару сотрудников только которые работают именно работают ...",29 декабря 2022
39,Лада,Очень вкусная выпечка,11 декабря
40,Лада,Разливное пиво тёплое.,7 декабря
41,Лада,"Помещение уютное. Месторасположение кафе очень удачное. Рядом остановка в любую часть города. К сожалению в кафе собирались по траурному поводу., всегда всё во время, очень вкусно. Пироги отменные. Постная пища тоже очень вкусная. Персонал вежливый, всегда идут на встречу. Рекомендую.",22 ноября
42,Лада,В целом нормально,8 сентября
43,Лада,"Отличное кафе! В зале чистенько,но темновато. Кухня очень вкусная! Спасибо персоналу за хорошее обслуживание! Молодцы так держать!",1 сентября
44,Лада,"Чисто, хорошая кухня, уютно.",18 мая
45,Лада,Отличный персонал и цветы. Продавщица солнышко💗💗💗💗,17 мая
46,Лада,Накормили вкусно. Даже не знала что квфе до сих пор существует. Была там в 90 году.,30 марта
47,Лада,Большой поток покупателей. Заказы собирают медленно для доставки. Ассортимент средний. Оценка 4,19 января
48,Лада,"Хорошее место
Не плохая еда и отличная выпечка",18 сентября 2022
